"R","G","B","U"
0.0196078431372549,0.188235294117647,0.380392156862745,1
0.117647058823529,0.380392156862745,0.647058823529412,1
0.235294117647059,0.541176470588235,0.745098039215686,1
0.486274509803922,0.717647058823529,0.83921568627451,1
0.729411764705882,0.850980392156863,0.913725490196078,1
0.917647058823529,0.952941176470588,0.972549019607843,1
0.996078431372549,0.933333333333333,0.898039215686275,1
0.976470588235294,0.780392156862745,0.67843137254902,1
0.92156862745098,0.572549019607843,0.450980392156863,1
0.811764705882353,0.32156862745098,0.274509803921569,1
0.670588235294118,0.0823529411764706,0.16078431372549,1
0.403921568627451,0,0.12156862745098,1
