"SCrank","SCtype","decile","SCtype2","SCranktype_mean","SC_label","SCtypesum","SCranktype_order"
1,"U_U",1,1,3,"SC.1_h","U_U1",1
2,"U_U",1,1,3,"SC.2_h","U_U1",1
4,"U_U",1,1,3,"SC.3_h","U_U1",1
6,"U_U",1,2,8.4,"SC.4_h","U_U2",2
10,"U_M",2,1,14.3125,"SC.5_h","U_M1",3
14,"U_M",2,1,14.3125,"SC.6_h","U_M1",3
18.5,"U_M",3,1,14.3125,"SC.7_h","U_M1",3
24.5,"U_M",4,2,24.5,"SC.8_h","U_M2",4
31,"U_T",5,1,37.4375,"SC.9_h","U_T1",6
39,"U_T",6,1,37.4375,"SC.10_h","U_T1",6
46,"U_T",7,2,53.5625,"SC.11_h","U_T2",9
54.5,"U_T",8,2,53.5625,"SC.12_h","U_T2",9
3,"U_U",1,1,3,"SC.13_h","U_U1",1
5,"U_U",1,1,3,"SC.14_h","U_U1",1
8,"U_U",2,2,8.4,"SC.15_h","U_U2",2
11,"U_M",2,1,14.3125,"SC.16_h","U_M1",3
15,"U_M",3,1,14.3125,"SC.17_h","U_M1",3
21,"U_M",3,2,24.5,"SC.18_h","U_M2",4
26,"U_M",4,2,24.5,"SC.19_h","U_M2",4
32.5,"U_T",5,1,37.4375,"SC.20_h","U_T1",6
40,"U_T",6,1,37.4375,"SC.21_h","U_T1",6
47.5,"U_T",7,2,53.5625,"SC.22_h","U_T2",9
57,"U_T",9,2,53.5625,"SC.23_h","U_T2",9
7,"U_U",1,2,8.4,"SC.24_h","U_U2",2
9,"U_U",2,2,8.4,"SC.25_h","U_U2",2
13,"U_M",2,1,14.3125,"SC.26_h","U_M1",3
17,"U_M",3,1,14.3125,"SC.27_h","U_M1",3
22,"U_M",4,2,24.5,"SC.28_h","U_M2",4
28,"U_M",4,2,24.5,"SC.29_h","U_M2",4
35,"U_T",5,1,37.4375,"SC.30_h","U_T1",6
42,"U_T",6,1,37.4375,"SC.31_h","U_T1",6
50.5,"U_T",8,2,53.5625,"SC.32_h","U_T2",9
59,"U_T",9,2,53.5625,"SC.33_h","U_T2",9
12,"U_U",2,2,8.4,"SC.34_h","U_U2",2
16,"U_M",3,1,14.3125,"SC.35_h","U_M1",3
20,"U_M",3,2,24.5,"SC.36_h","U_M2",4
24.5,"U_M",4,2,24.5,"SC.37_h","U_M2",4
30,"U_M",5,2,24.5,"SC.38_h","U_M2",4
36,"U_T",6,1,37.4375,"SC.39_h","U_T1",6
44,"U_T",7,1,37.4375,"SC.40_h","U_T1",6
53,"U_T",8,2,53.5625,"SC.41_h","U_T2",9
61,"U_T",10,2,53.5625,"SC.42_h","U_T2",9
18.5,"M_M",3,1,26,"SC.43_h","M_M1",5
23,"M_M",4,1,26,"SC.44_h","M_M1",5
29,"M_M",5,1,26,"SC.45_h","M_M1",5
34,"M_M",5,2,40.2,"SC.46_h","M_M2",7
41,"M_T",6,1,50.5625,"SC.47_h","M_T1",8
47.5,"M_T",7,1,50.5625,"SC.48_h","M_T1",8
56,"M_T",9,1,50.5625,"SC.49_h","M_T1",8
64,"M_T",10,2,65.875,"SC.50_h","M_T2",10
27,"M_M",4,1,26,"SC.51_h","M_M1",5
32.5,"M_M",5,1,26,"SC.52_h","M_M1",5
38,"M_M",6,2,40.2,"SC.53_h","M_M2",7
45,"M_T",7,1,50.5625,"SC.54_h","M_T1",8
52,"M_T",8,1,50.5625,"SC.55_h","M_T1",8
60,"M_T",9,2,65.875,"SC.56_h","M_T2",10
66,"M_T",10,2,65.875,"SC.57_h","M_T2",10
37,"M_M",6,2,40.2,"SC.58_h","M_M2",7
43,"M_M",7,2,40.2,"SC.59_h","M_M2",7
50.5,"M_T",8,1,50.5625,"SC.60_h","M_T1",8
58,"M_T",9,1,50.5625,"SC.61_h","M_T1",8
65,"M_T",10,2,65.875,"SC.62_h","M_T2",10
69,"M_T",11,2,65.875,"SC.63_h","M_T2",10
49,"M_M",8,2,40.2,"SC.64_h","M_M2",7
54.5,"M_T",9,1,50.5625,"SC.65_h","M_T1",8
63,"M_T",10,2,65.875,"SC.66_h","M_T2",10
68,"M_T",11,2,65.875,"SC.67_h","M_T2",10
72,"M_T",11,2,65.875,"SC.68_h","M_T2",10
62,"T_T",10,1,68.6,"SC.69_h","T_T1",11
67,"T_T",11,1,68.6,"SC.70_h","T_T1",11
71,"T_T",11,1,68.6,"SC.71_h","T_T1",11
74,"T_T",12,2,76,"SC.72_h","T_T2",12
70,"T_T",11,1,68.6,"SC.73_h","T_T1",11
73,"T_T",12,1,68.6,"SC.74_h","T_T1",11
76,"T_T",12,2,76,"SC.75_h","T_T2",12
75,"T_T",12,2,76,"SC.76_h","T_T2",12
77,"T_T",12,2,76,"SC.77_h","T_T2",12
78,"T_T",12,2,76,"SC.78_h","T_T2",12
