"subID","interviewyear","household_number_in_house","unrelated_subset","interview_age","sex","LQ","handnessfactor","race_ethnicity","nih_fluidcogcomp_unadjusted","nih_fluidcogcomp_ageadjusted","nih_crycogcomp_unadjusted","nih_crycogcomp_ageadjusted","nih_cogfuncogcomp_unadj","nih_cogfuncogcomp_ageadj","nih_eccogcomp_unadjusted","nih_eccogcomp_ageadjusted","nih_totalcogcomp_unadjusted","nih_totalcogcomp_ageadjusted","site","mean_fd","age","interview_date","annual_fam_inc","povertyline","income.adj","ICV"
"HCD2062537",2017,"4","FALSE",157,"M",-100,2,"Other",105,99,112,146,NA,NA,103,102,110,132,"UCLA",1.0271567357,13.0833333333333,"2017/7/1",1e+05,24600,4.0650406504065,1585511.23
"HCD2063034",2018,"3","TRUE",191,"F",100,1,"Hispanic",99,86,106,121,NA,NA,104,99,103,104,"Harvard",0.4335164329,15.9166666666667,"2018/10/1",190000,20780,9.14340712223292,1628475.6
"HCD2068145",2018,"4","FALSE",168,"M",100,1,"Other",108,97,93,100,NA,NA,99,88,100,98,"WashU",0.5340747688,14,"2018/4/1",12500,25100,0.49800796812749,1600882.75
"HCD2073340",2018,"4","TRUE",128,"M",100,1,"White",103,112,95,125,NA,NA,99,118,98,122,"Harvard",0.8616947954,10.6666666666667,"2018/1/1",220000,25100,8.76494023904382,1822179.05
"HCD2082947",2019,"4","TRUE",246,"M",100,1,"White",999,90,NA,140,NA,NA,NA,100,NA,117,"WashU",0.5852068472,20.5,"2019/1/1",175000,25750,6.79611650485437,1669677.25
"HCD2093245",2018,"4","TRUE",257,"M",100,1,"Asian",104,87,120,136,NA,NA,106,98,113,114,"Harvard",0.8469181862,21.4166666666667,"2018/7/1",-999999,25100,NA,1643287.82
"HCD2095148",2018,"4","FALSE",131,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.8722833678,10.9166666666667,"2018/4/1",350000,25100,13.9442231075697,1416990.6
"HCD2099257",2018,"2","TRUE",100,"F",100,1,"Hispanic",93,112,86,120,NA,NA,89,112,87,119,"Harvard",0.4713888034,8.33333333333333,"2018/4/1",55000,16460,3.34143377885784,1367223.74
"HCD2105125",2017,"5","TRUE",231,"F",100,1,"White",103,83,103,102,NA,NA,98,80,103,91,"UCLA",0.6116508314,19.25,"2017/10/1",3e+05,28780,10.4239054899236,1580415.18
"HCD2109234",2018,"4","FALSE",185,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.4409731009,15.4166666666667,"2018/4/1",165000,25100,6.57370517928287,1546450.64
"HCD2109638",2017,"5","TRUE",197,"M",100,1,"White",107,91,107,121,NA,NA,103,91,107,107,"Harvard",0.5508698489,16.4166666666667,"2017/4/1",220000,28780,7.64419735927728,1788981.18
"HCD2115835",2017,"4","TRUE",109,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.8671091298,9.08333333333333,"2017/7/1",75000,24600,3.04878048780488,1490928.52
"HCD2122125",2018,"5","TRUE",246,"M",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.4911667195,20.5,"2018/10/1",2e+05,29420,6.79809653297077,1686881.7
"HCD2133433",2018,"4","FALSE",152,"F",100,1,"White",99,94,97,115,NA,NA,95,91,97,105,"UCLA",1.6773854053,12.6666666666667,"2018/4/1",110000,25100,4.38247011952191,1399456.18
"HCD2134031",2019,"5","TRUE",217,"F",-77.7777777777778,2,"Hispanic",118,104,118,132,NA,NA,119,115,120,121,"UCLA",0.8205621722,18.0833333333333,"2019/1/1",4e+05,30170,13.2582035134239,1298621.02
"HCD2136540",2017,"4","TRUE",254,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.5867490717,21.1666666666667,"2017/10/1",130000,24600,5.28455284552845,1489347.58
"HCD2140026",2017,"8","FALSE",163,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.66366932,13.5833333333333,"2017/10/1",110000,41320,2.6621490803485,1678744.48
"HCD2140127",2018,"4","TRUE",191,"M",25,3,"Hispanic",97,82,99,105,NA,NA,103,94,97,92,"Harvard",0.5407305168,15.9166666666667,"2018/10/1",35000,25100,1.39442231075697,1470894.18
"HCD2146139",2017,"4","TRUE",148,"F",14.2857142857143,3,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.9109895811,12.3333333333333,"2017/1/1",57000,24600,2.31707317073171,1595310.29
"HCD2155140",2018,"4","TRUE",248,"M",100,1,"Black",106,88,118,134,NA,NA,103,92,113,113,"Harvard",0.5752650486,20.6666666666667,"2018/10/1",-999999,25100,NA,1972268.54
"HCD2155645",2017,"10","FALSE",108,"F",75,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.8808115035,9,"2017/7/1",250000,49680,5.03220611916264,1492740.37
"HCD2155746",2019,"3","TRUE",100,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.7108115258,8.33333333333333,"2019/4/1",120000,21330,5.62587904360056,1624470.71
"HCD2156142",2019,"5","FALSE",182,"F",100,1,"Other",119,117,103,113,NA,NA,117,122,112,118,"Harvard",0.4056204865,15.1666666666667,"2019/1/1",45000,30170,1.49154789526019,1518754.26
"HCD2156344",2017,"4","TRUE",144,"M",71.4285714285714,1,"White",109,114,99,120,NA,NA,109,122,104,120,"Harvard",0.4738790743,12,"2017/1/1",150000,24600,6.09756097560976,1901847.39
"HCD2163644",2018,"5","TRUE",131,"M",-100,2,"White",103,108,91,113,NA,NA,97,108,96,113,"Harvard",0.6423865917,10.9166666666667,"2018/1/1",150000,29420,5.09857239972808,1608811.88
"HCD2164242",2018,"0","TRUE",121,"M",100,1,"White",106,121,89,107,NA,NA,102,122,97,116,"WashU",0.6408412631,10.0833333333333,"2018/7/1",75000,NA,NA,1938759.58
"HCD2174649",2017,"4","FALSE",197,"F",20,3,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.7492025337,16.4166666666667,"2017/10/1",160000,24600,6.50406504065041,1662825.44
