"label_ID","age","derivative","se","lower_ci","upper","significant","significant.derivative","meanSC","SCrank12"
"SC.1_h",8.91666666666667,0.0334584798392935,0.00538570935095386,0.0205254082205448,0.0463915514580422,TRUE,0.0334584798392935,1.09353530872994,1
"SC.1_h",8.9215048381715,0.0334584660396852,0.00538570251816222,0.0205254108289856,0.0463915212503848,TRUE,0.0334584660396852,1.09353530872994,1
"SC.1_h",8.92634300967634,0.0334584249647511,0.00538568226743821,0.0205254183834979,0.0463914315460044,TRUE,0.0334584249647511,1.09353530872994,1
"SC.1_h",8.93118118118118,0.0334583560677763,0.00538564832927322,0.0205254309845561,0.0463912811509965,TRUE,0.0334583560677763,1.09353530872994,1
"SC.1_h",8.93601935268602,0.0334582598934804,0.00538560091364102,0.0205254486726555,0.0463910711143054,TRUE,0.0334582598934804,1.09353530872994,1
"SC.1_h",8.94085752419086,0.033458136098193,0.00538553988049981,0.0205254714404177,0.0463908007559684,TRUE,0.033458136098193,1.09353530872994,1
"SC.1_h",8.9456956956957,0.0334579848958461,0.0053854653354186,0.0205254992482644,0.0463904705434277,TRUE,0.0334579848958461,1.09353530872994,1
"SC.1_h",8.95053386720053,0.0334578061547057,0.00538537718425094,0.0205255321905421,0.0463900801188692,TRUE,0.0334578061547057,1.09353530872994,1
"SC.1_h",8.95537203870537,0.0334575999243076,0.00538527551019499,0.0205255701169972,0.0463896297316179,TRUE,0.0334575999243076,1.09353530872994,1
"SC.1_h",8.96021021021021,0.0334573661808815,0.00538516030169286,0.0205256130316141,0.0463891193301488,TRUE,0.0334573661808815,1.09353530872994,1
"SC.1_h",8.96504838171505,0.0334571049699726,0.00538503152274636,0.020525661066383,0.0463885488735623,TRUE,0.0334571049699726,1.09353530872994,1
"SC.1_h",8.96988655321989,0.0334568162806936,0.00538488919751028,0.0205257141524118,0.0463879184089754,TRUE,0.0334568162806936,1.09353530872994,1
"SC.1_h",8.97472472472472,0.0334565000655038,0.00538473330277331,0.0205257722978989,0.0463872278331087,TRUE,0.0334565000655038,1.09353530872994,1
"SC.1_h",8.97956289622956,0.0334561563828313,0.00538456383827178,0.0205258355619055,0.0463864772037571,TRUE,0.0334561563828313,1.09353530872994,1
"SC.1_h",8.9844010677344,0.0334557852822117,0.00538438088732928,0.0205259037938767,0.0463856667705468,TRUE,0.0334557852822117,1.09353530872994,1
"SC.1_h",8.98923923923924,0.0334553864655197,0.00538418427394627,0.0205259771183267,0.0463847958127127,TRUE,0.0334553864655197,1.09353530872994,1
"SC.1_h",8.99407741074408,0.0334549603259615,0.00538397422159881,0.0205260553918135,0.0463838652601095,TRUE,0.0334549603259615,1.09353530872994,1
"SC.1_h",8.99891558224891,0.0334545066238397,0.00538375055382103,0.0205261387983993,0.0463828744492801,TRUE,0.0334545066238397,1.09353530872994,1
"SC.1_h",9.00375375375375,0.0334540184420212,0.00538350986098348,0.020526228608727,0.0463818082753155,TRUE,0.0334540184420212,1.09353530872994,1
"SC.1_h",9.00859192525859,0.0334534797851457,0.00538324431693324,0.0205263276209115,0.0463806319493799,TRUE,0.0334534797851457,1.09353530872994,1
"SC.1_h",9.01343009676343,0.0334528902491195,0.00538295372324037,0.0205264359073627,0.0463793445908763,TRUE,0.0334528902491195,1.09353530872994,1
"SC.1_h",9.01826826826827,0.0334522496893259,0.00538263795084261,0.0205265536333899,0.046377945745262,TRUE,0.0334522496893259,1.09353530872994,1
"SC.1_h",9.02310643977311,0.0334515582374989,0.00538229709492632,0.0205266807021495,0.0463764357728484,TRUE,0.0334515582374989,1.09353530872994,1
"SC.1_h",9.02794461127794,0.0334508158698682,0.0053819311447792,0.0205268171155953,0.0463748146241411,TRUE,0.0334508158698682,1.09353530872994,1
"SC.1_h",9.03278278278278,0.0334500225735511,0.0053815400658194,0.0205269629438886,0.0463730822032137,TRUE,0.0334500225735511,1.09353530872994,1
"SC.1_h",9.03762095428762,0.0334491782792322,0.00538112388365773,0.0205271180562128,0.0463712385022516,TRUE,0.0334491782792322,1.09353530872994,1
"SC.1_h",9.04245912579246,0.0334482829274859,0.0053806825702311,0.0205272824605322,0.0463692833944396,TRUE,0.0334482829274859,1.09353530872994,1
"SC.1_h",9.0472972972973,0.0334473368253298,0.00538021621955937,0.0205274562380882,0.0463672174125715,TRUE,0.0334473368253298,1.09353530872994,1
"SC.1_h",9.05213546880213,0.0334463396647488,0.00537972471050554,0.0205276393717599,0.0463650399577376,TRUE,0.0334463396647488,1.09353530872994,1
"SC.1_h",9.05697364030697,0.03344529169533,0.00537920816754735,0.0205278318122179,0.046362751578442,TRUE,0.03344529169533,1.09353530872994,1
"SC.1_h",9.06181181181181,0.0334441925714077,0.00537866639253044,0.020528033689638,0.0463603514531775,TRUE,0.0334441925714077,1.09353530872994,1
"SC.1_h",9.06664998331665,0.033443042592105,0.00537809959310975,0.0205282448044871,0.0463578403797228,TRUE,0.033443042592105,1.09353530872994,1
"SC.1_h",9.07148815482149,0.0334418416851134,0.00537750770601667,0.0205284652363882,0.0463552181338386,TRUE,0.0334418416851134,1.09353530872994,1
"SC.1_h",9.07632632632633,0.0334405896969242,0.00537689068665268,0.0205286949389299,0.0463524844549185,TRUE,0.0334405896969242,1.09353530872994,1
"SC.1_h",9.08116449783116,0.0334392869226699,0.00537624862369735,0.0205289339942925,0.0463496398510474,TRUE,0.0334392869226699,1.09353530872994,1
"SC.1_h",9.086002669336,0.0334379301543689,0.0053755799673863,0.0205291829160493,0.0463466773926886,TRUE,0.0334379301543689,1.09353530872994,1
"SC.1_h",9.09084084084084,0.0334365046772596,0.00537487743894096,0.0205294444684668,0.0463435648860525,TRUE,0.0334365046772596,1.09353530872994,1
"SC.1_h",9.09567901234568,0.0334350086868007,0.00537414021050679,0.0205297188349873,0.0463402985386142,TRUE,0.0334350086868007,1.09353530872994,1
"SC.1_h",9.10051718385052,0.0334334417303606,0.005373368032767,0.0205300061616806,0.0463368772990406,TRUE,0.0334334417303606,1.09353530872994,1
"SC.1_h",9.10535535535536,0.0334318040822942,0.00537256107340962,0.020530306320221,0.0463333018443674,TRUE,0.0334318040822942,1.09353530872994,1
"SC.1_h",9.11019352686019,0.0334300959545384,0.00537171938160552,0.0205306194044679,0.0463295725046089,TRUE,0.0334300959545384,1.09353530872994,1
"SC.1_h",9.11503169836503,0.0334283170153078,0.00537084282663989,0.0205309453965303,0.0463256886340852,TRUE,0.0334283170153078,1.09353530872994,1
"SC.1_h",9.11986986986987,0.0334264675726174,0.00536993153461693,0.0205312843016008,0.046321650843634,TRUE,0.0334264675726174,1.09353530872994,1
"SC.1_h",9.12470804137471,0.0334245473075647,0.00536898541076284,0.0205316360283634,0.046317458586766,TRUE,0.0334245473075647,1.09353530872994,1
"SC.1_h",9.12954621287955,0.0334225563023478,0.0053680044702098,0.0205320006226784,0.0463131119820171,TRUE,0.0334225563023478,1.09353530872994,1
"SC.1_h",9.13438438438438,0.0334204945817344,0.00536698875851839,0.0205323779999058,0.046308611163563,TRUE,0.0334204945817344,1.09353530872994,1
"SC.1_h",9.13922255588922,0.0334183622982359,0.00536593829646518,0.0205327682626647,0.046303956333807,TRUE,0.0334183622982359,1.09353530872994,1
