"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_ContB_Temp_2",339,"RH_Cont_Temp_2","Cont","7Networks_RH_Cont_Temp_2",337,"ContB",329.7,398,166.4,199,274,398
"17Networks_RH_SalVentAttnB_Ins_1",340,"RH_Cont_PFCv_1","Cont","7Networks_RH_Cont_PFCv_1",309,"SalVentAttnB",273.2,323,137.4,164,218,323
"17Networks_RH_ContB_PFClv_2",341,"RH_Cont_PFCl_1","Cont","7Networks_RH_Cont_PFCl_1",347,"ContB",274,324,137.2,163,294,324
"17Networks_RH_ContB_PFClv_3",342,"RH_Cont_PFCl_2","Cont","7Networks_RH_Cont_PFCl_2",348,"ContB",296.5,369.5,148.9,185,296,369
"17Networks_RH_ContB_PFClv_4",343,"RH_Cont_PFCl_3","Cont","7Networks_RH_Cont_PFCl_3",349,"ContB",280.8,335,142,173,298,335
"17Networks_RH_SalVentAttnB_PFClv_1",344,"RH_Cont_PFCl_4","Cont","7Networks_RH_Cont_PFCl_4",305,"SalVentAttnB",252.5,289,127.8,146,210,289
"17Networks_RH_SalVentAttnB_PFCl_1",345,"RH_Cont_PFCl_5","Cont","7Networks_RH_Cont_PFCl_5",306,"SalVentAttnB",283.9,343,141.8,172,212,343
"17Networks_RH_ContA_PFCl_1",346,"RH_Cont_PFCl_6","Cont","7Networks_RH_Cont_PFCl_6",330,"ContA",253.5,290,128.3,147,260,290
"17Networks_RH_ContA_PFCl_2",347,"RH_Cont_PFCl_7","Cont","7Networks_RH_Cont_PFCl_7",331,"ContA",224.7,235.5,112.9,120,262,236
"17Networks_RH_SalVentAttnB_PFCl_2",348,"RH_Cont_PFCl_8","Cont","7Networks_RH_Cont_PFCl_8",307,"SalVentAttnB",296.3,367,148.7,183,214,367
"17Networks_RH_ContA_PFCl_3",349,"RH_Cont_PFCl_9","Cont","7Networks_RH_Cont_PFCl_9",332,"ContA",281.6,338,141.3,170,264,338
"17Networks_RH_ContA_PFCl_5",350,"RH_Cont_PFCl_10","Cont","7Networks_RH_Cont_PFCl_10",334,"ContA",265.3,311,132.9,156.5,268,311
"17Networks_RH_ContB_PFCld_1",351,"RH_Cont_PFCl_11","Cont","7Networks_RH_Cont_PFCl_11",342,"ContB",292.2,361,146.8,180,284,361
"17Networks_RH_ContB_PFCld_2",352,"RH_Cont_PFCl_12","Cont","7Networks_RH_Cont_PFCl_12",343,"ContB",296.4,368,149.1,187,286,368
"17Networks_RH_ContB_PFCld_3",353,"RH_Cont_PFCl_13","Cont","7Networks_RH_Cont_PFCl_13",344,"ContB",250.9,288,126.1,144,288,288
"17Networks_RH_ContB_PFCld_4",354,"RH_Cont_PFCl_14","Cont","7Networks_RH_Cont_PFCl_14",345,"ContB",292.1,360,146.7,179,290,360
"17Networks_RH_ContA_PFCd_1",355,"RH_Cont_PFCl_15","Cont","7Networks_RH_Cont_PFCl_15",329,"ContA",246.8,281,123.3,140,258,281
"17Networks_RH_ContC_pCun_2",356,"RH_Cont_pCun_1","Cont","7Networks_RH_Cont_pCun_1",352,"ContC",183.9,166,92.1,82,304,166
"17Networks_RH_ContC_pCun_3",357,"RH_Cont_pCun_2","Cont","7Networks_RH_Cont_pCun_2",353,"ContC",217.1,220,109.3,113,306,220
"17Networks_RH_ContC_Cingp_2",358,"RH_Cont_Cing_1","Cont","7Networks_RH_Cont_Cing_1",357,"ContC",138.7,89,70.55,44,314,89
"17Networks_RH_ContA_Cingm_1",359,"RH_Cont_Cing_2","Cont","7Networks_RH_Cont_Cing_2",335,"ContA",154.3,115,78.2,59,270,115
"17Networks_RH_SalVentAttnB_PFCmp_1",360,"RH_Cont_PFCmp_1","Cont","7Networks_RH_Cont_PFCmp_1",311,"SalVentAttnB",287.1,352.5,144,176,222,352
"17Networks_RH_ContB_PFCmp_1",361,"RH_Cont_PFCmp_2","Cont","7Networks_RH_Cont_PFCmp_2",350,"ContB",281.5,336.5,141.4,171,300,336
"17Networks_RH_TempPar_9",362,"RH_Default_Par_1","Default","7Networks_RH_Default_Par_1",399,"TempPar",255.8,294,128.9,148,398,294
"17Networks_RH_DefaultC_IPL_1",363,"RH_Default_Par_2","Default","7Networks_RH_Default_Par_2",385,"DefaultC",215.4,213,109.4,114,370,213
"17Networks_RH_DefaultA_IPL_1",364,"RH_Default_Par_3","Default","7Networks_RH_Default_Par_3",359,"DefaultA",296.6,371,149,186,318,371
"17Networks_RH_ContB_IPL_1",365,"RH_Default_Par_4","Default","7Networks_RH_Default_Par_4",338,"ContB",298.9,376,151.1,193,276,376
"17Networks_RH_DefaultA_IPL_2",366,"RH_Default_Par_5","Default","7Networks_RH_Default_Par_5",360,"DefaultA",268.6,314,135.4,158,320,314
"17Networks_RH_DefaultB_AntTemp_1",367,"RH_Default_Temp_1","Default","7Networks_RH_Default_Temp_1",376,"DefaultB",294.1,366,147.8,181,352,366
"17Networks_RH_DefaultA_Temp_1",368,"RH_Default_Temp_2","Default","7Networks_RH_Default_Temp_2",358,"DefaultA",320.6,396,161.4,198,316,396
"17Networks_RH_TempPar_1",369,"RH_Default_Temp_3","Default","7Networks_RH_Default_Temp_3",391,"TempPar",257.7,297,129.4,150,382,297
"17Networks_RH_TempPar_2",370,"RH_Default_Temp_4","Default","7Networks_RH_Default_Temp_4",392,"TempPar",280.7,334,140.9,168.5,384,334
"17Networks_RH_DefaultB_Temp_1",371,"RH_Default_Temp_5","Default","7Networks_RH_Default_Temp_5",374,"DefaultB",278.7,333,140.8,167,348,333
"17Networks_RH_TempPar_3",372,"RH_Default_Temp_6","Default","7Networks_RH_Default_Temp_6",393,"TempPar",215.7,215,108.1,111,386,215
"17Networks_RH_DefaultB_Temp_2",373,"RH_Default_Temp_7","Default","7Networks_RH_Default_Temp_7",375,"DefaultB",271.2,316,136,159,350,316
"17Networks_RH_TempPar_5",374,"RH_Default_Temp_8","Default","7Networks_RH_Default_Temp_8",395,"TempPar",203.4,196,102.6,98,390,196
"17Networks_RH_DefaultB_PFCv_1",375,"RH_Default_PFCv_1","Default","7Networks_RH_Default_PFCv_1",382,"DefaultB",281.5,336.5,142.1,174,364,337
"17Networks_RH_ContB_PFClv_1",376,"RH_Default_PFCv_2","Default","7Networks_RH_Default_PFCv_2",346,"ContB",277.6,329,140.9,168.5,292,329
"17Networks_RH_DefaultB_PFCv_2",377,"RH_Default_PFCv_3","Default","7Networks_RH_Default_PFCv_3",383,"DefaultB",292,358.5,148.1,182,366,359
"17Networks_RH_DefaultB_PFCv_3",378,"RH_Default_PFCv_4","Default","7Networks_RH_Default_PFCv_4",384,"DefaultB",274.5,326,138.2,165,368,326
"17Networks_RH_DefaultA_PFCm_1",379,"RH_Default_PFCdPFCm_1","Default","7Networks_RH_Default_PFCdPFCm_1",368,"DefaultA",299.9,379.5,149.6,189,336,379
"17Networks_RH_DefaultA_PFCm_2",380,"RH_Default_PFCdPFCm_2","Default","7Networks_RH_Default_PFCdPFCm_2",369,"DefaultA",291.5,357,144.9,177,338,357
"17Networks_RH_DefaultA_PFCm_3",381,"RH_Default_PFCdPFCm_3","Default","7Networks_RH_Default_PFCdPFCm_3",370,"DefaultA",299.9,379.5,150.6,192,340,380
"17Networks_RH_DefaultA_PFCm_4",382,"RH_Default_PFCdPFCm_4","Default","7Networks_RH_Default_PFCdPFCm_4",371,"DefaultA",312.1,390,157.5,197,342,390
"17Networks_RH_DefaultA_PFCm_5",383,"RH_Default_PFCdPFCm_5","Default","7Networks_RH_Default_PFCdPFCm_5",372,"DefaultA",296.9,373,149.3,188,344,373
"17Networks_RH_DefaultA_PFCm_6",384,"RH_Default_PFCdPFCm_6","Default","7Networks_RH_Default_PFCdPFCm_6",373,"DefaultA",202.1,195,100.2,93.5,346,195
"17Networks_RH_DefaultB_PFCd_1",385,"RH_Default_PFCdPFCm_7","Default","7Networks_RH_Default_PFCdPFCm_7",377,"DefaultB",307.9,387,154.7,196,354,387
"17Networks_RH_DefaultB_PFCd_2",386,"RH_Default_PFCdPFCm_8","Default","7Networks_RH_Default_PFCdPFCm_8",378,"DefaultB",304.2,382,153.3,194,356,382
"17Networks_RH_DefaultB_PFCd_3",387,"RH_Default_PFCdPFCm_9","Default","7Networks_RH_Default_PFCdPFCm_9",379,"DefaultB",297.1,374,149.7,190,358,374
"17Networks_RH_DefaultA_PFCd_1",388,"RH_Default_PFCdPFCm_10","Default","7Networks_RH_Default_PFCdPFCm_10",361,"DefaultA",297.7,375,150.1,191,322,375
"17Networks_RH_DefaultB_PFCd_4",389,"RH_Default_PFCdPFCm_11","Default","7Networks_RH_Default_PFCdPFCm_11",380,"DefaultB",308.3,388.5,154.2,195,360,389
"17Networks_RH_DefaultA_PFCd_2",390,"RH_Default_PFCdPFCm_12","Default","7Networks_RH_Default_PFCdPFCm_12",362,"DefaultA",293.7,365,148.8,184,324,365
"17Networks_RH_DefaultB_PFCd_5",391,"RH_Default_PFCdPFCm_13","Default","7Networks_RH_Default_PFCdPFCm_13",381,"DefaultB",272.8,320,137.1,162,362,320
"17Networks_RH_DefaultC_Rsp_2",392,"RH_Default_pCunPCC_1","Default","7Networks_RH_Default_pCunPCC_1",388,"DefaultC",222.1,229,112.3,118.5,376,229
"17Networks_RH_ContC_Cingp_1",393,"RH_Default_pCunPCC_2","Default","7Networks_RH_Default_pCunPCC_2",356,"ContC",174.4,150,89.55,76,312,150
"17Networks_RH_ContC_pCun_1",394,"RH_Default_pCunPCC_3","Default","7Networks_RH_Default_pCunPCC_3",351,"ContC",185.6,171,93.1,84,302,171
"17Networks_RH_DefaultA_pCunPCC_1",395,"RH_Default_pCunPCC_4","Default","7Networks_RH_Default_pCunPCC_4",363,"DefaultA",248.7,284,126,143,326,284
"17Networks_RH_DefaultA_pCunPCC_2",396,"RH_Default_pCunPCC_5","Default","7Networks_RH_Default_pCunPCC_5",364,"DefaultA",228.5,243,116,126,328,243
"17Networks_RH_DefaultA_pCunPCC_3",397,"RH_Default_pCunPCC_6","Default","7Networks_RH_Default_pCunPCC_6",365,"DefaultA",254.8,291,129.9,151,330,291
"17Networks_RH_DefaultA_pCunPCC_4",398,"RH_Default_pCunPCC_7","Default","7Networks_RH_Default_pCunPCC_7",366,"DefaultA",245,280,122.5,138,332,280
"17Networks_RH_DefaultA_pCunPCC_5",399,"RH_Default_pCunPCC_8","Default","7Networks_RH_Default_pCunPCC_8",367,"DefaultA",221.3,227,111.8,117,334,227
"17Networks_RH_ContC_pCun_4",400,"RH_Default_pCunPCC_9","Default","7Networks_RH_Default_pCunPCC_9",354,"ContC",204.9,197,102.7,99,308,197
