"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_SomMotB_Aud_1",231,"RH_SomMot_1","SomMot","7Networks_RH_SomMot_1",244,"SomMotB",228.1,241.5,114.6,123.5,88,241
"17Networks_RH_TempPar_4",232,"RH_SomMot_2","SomMot","7Networks_RH_SomMot_2",394,"TempPar",216.3,217,108.3,112,388,217
"17Networks_RH_SomMotB_Aud_2",233,"RH_SomMot_3","SomMot","7Networks_RH_SomMot_3",245,"SomMotB",145.3,98,73.3,48.5,90,98
"17Networks_RH_SomMotB_Ins_1",234,"RH_SomMot_4","SomMot","7Networks_RH_SomMot_4",246,"SomMotB",216,216,106.9,108,92,216
"17Networks_RH_SomMotB_S2_1",235,"RH_SomMot_5","SomMot","7Networks_RH_SomMot_5",247,"SomMotB",182.5,164,90.5,78.5,94,164
"17Networks_RH_SomMotB_S2_2",236,"RH_SomMot_6","SomMot","7Networks_RH_SomMot_6",248,"SomMotB",166.8,138,83.5,67,96,138
"17Networks_RH_SomMotB_Aud_3",237,"RH_SomMot_7","SomMot","7Networks_RH_SomMot_7",249,"SomMotB",168.6,141,84.9,68,98,141
"17Networks_RH_TempPar_8",238,"RH_SomMot_8","SomMot","7Networks_RH_SomMot_8",398,"TempPar",198.8,187,100.2,93.5,396,187
"17Networks_RH_SomMotB_S2_3",239,"RH_SomMot_9","SomMot","7Networks_RH_SomMot_9",250,"SomMotB",125.1,74,61.4,36,100,74
"17Networks_RH_SomMotB_S2_4",240,"RH_SomMot_10","SomMot","7Networks_RH_SomMot_10",251,"SomMotB",160.2,125,80.2,63,102,125
"17Networks_RH_SomMotB_S2_5",241,"RH_SomMot_11","SomMot","7Networks_RH_SomMot_11",252,"SomMotB",129.3,79.5,65.5,41,104,80
"17Networks_RH_SomMotB_S2_6",242,"RH_SomMot_12","SomMot","7Networks_RH_SomMot_12",253,"SomMotB",189.1,175.5,95.4,87,106,175
"17Networks_RH_SomMotB_S2_7",243,"RH_SomMot_13","SomMot","7Networks_RH_SomMot_13",254,"SomMotB",157,118.5,77.8,57,108,119
"17Networks_RH_SomMotB_S2_8",244,"RH_SomMot_14","SomMot","7Networks_RH_SomMot_14",255,"SomMotB",171.4,145,85.3,70,110,145
