"label_ID","age","derivative","se","lower_ci","upper","significant","significant.derivative","meanSC","SCrankds.resolution"
"SC.1_h",8.91666666666667,0.027148684324851,0.00430456603119581,0.0167500532486328,0.0375473154010693,TRUE,0.027148684324851,1.10533498247837,1
"SC.1_h",8.9215048381715,0.0271486751345769,0.00430456064928823,0.0167500570595465,0.0375472932096074,TRUE,0.0271486751345769,1.10533498247837,1
"SC.1_h",8.92634300967634,0.0271486474231367,0.00430454439064644,0.0167500686244506,0.0375472262218228,TRUE,0.0271486474231367,1.10533498247837,1
"SC.1_h",8.93118118118118,0.0271486011000343,0.00430451729404285,0.0167500877591858,0.0375471144408828,TRUE,0.0271486011000343,1.10533498247837,1
"SC.1_h",8.93601935268602,0.0271485363198095,0.00430447935827902,0.0167501146211869,0.0375469580184321,TRUE,0.0271485363198095,1.10533498247837,1
"SC.1_h",8.94085752419086,0.0271484530504404,0.00430443056466354,0.0167501492235853,0.0375467568772956,TRUE,0.0271484530504404,1.10533498247837,1
"SC.1_h",8.9456956956957,0.0271483512334529,0.00430437097077255,0.0167501913688189,0.0375465110980869,TRUE,0.0271483512334529,1.10533498247837,1
"SC.1_h",8.95053386720053,0.0271482309273211,0.00430430051920335,0.0167502412540308,0.0375462206006115,TRUE,0.0271482309273211,1.10533498247837,1
"SC.1_h",8.95537203870537,0.0271480921320451,0.004304219210069,0.0167502988789479,0.0375458853851423,TRUE,0.0271480921320451,1.10533498247837,1
"SC.1_h",8.96021021021021,0.027147934808642,0.00430412708183117,0.0167503641116747,0.0375455055056092,TRUE,0.027147934808642,1.10533498247837,1
"SC.1_h",8.96504838171505,0.02714775892509,0.00430402411588512,0.0167504369651333,0.0375450808850467,TRUE,0.02714775892509,1.10533498247837,1
"SC.1_h",8.96988655321989,0.027147564603907,0.00430391029240309,0.0167505176097398,0.0375446115980741,TRUE,0.027147564603907,1.10533498247837,1
"SC.1_h",8.97472472472472,0.027147351722575,0.00430378563156011,0.0167506058742392,0.0375440975709109,TRUE,0.027147351722575,1.10533498247837,1
"SC.1_h",8.97956289622956,0.0271471203451379,0.00430365017105846,0.0167507017315969,0.0375435389586789,TRUE,0.0271471203451379,1.10533498247837,1
"SC.1_h",8.9844010677344,0.0271468705300698,0.00430350385362017,0.0167508053786548,0.0375429356814848,TRUE,0.0271468705300698,1.10533498247837,1
"SC.1_h",8.98923923923924,0.0271466021548527,0.0043033466994714,0.016750916644034,0.0375422876656714,TRUE,0.0271466021548527,1.10533498247837,1
"SC.1_h",8.99407741074408,0.0271463153670656,0.00430317876470357,0.0167510355398124,0.0375415951943188,TRUE,0.0271463153670656,1.10533498247837,1
"SC.1_h",8.99891558224891,0.0271460097949765,0.00430299986248893,0.0167511621455818,0.0375408574443713,TRUE,0.0271460097949765,1.10533498247837,1
"SC.1_h",9.00375375375375,0.0271456812381522,0.00430280744178728,0.0167512984235105,0.037540064052794,TRUE,0.0271456812381522,1.10533498247837,1
"SC.1_h",9.00859192525859,0.027145318686642,0.00430259514781081,0.0167514487150429,0.037539188658241,TRUE,0.027145318686642,1.10533498247837,1
"SC.1_h",9.01343009676343,0.027144921852249,0.00430236281243087,0.0167516131381344,0.0375382305663637,TRUE,0.027144921852249,1.10533498247837,1
"SC.1_h",9.01826826826827,0.0271444906778907,0.00430211034176084,0.0167517918625059,0.0375371894932754,TRUE,0.0271444906778907,1.10533498247837,1
"SC.1_h",9.02310643977311,0.0271440252276105,0.00430183777405309,0.0167519848597942,0.0375360655954269,TRUE,0.0271440252276105,1.10533498247837,1
"SC.1_h",9.02794461127794,0.0271435254109126,0.00430154514885477,0.0167521919439683,0.037534858877857,TRUE,0.0271435254109126,1.10533498247837,1
"SC.1_h",9.03278278278278,0.0271429913823367,0.00430123246579818,0.0167524132704562,0.0375335694942173,TRUE,0.0271429913823367,1.10533498247837,1
"SC.1_h",9.03762095428762,0.0271424230778391,0.00430089968831537,0.0167526488635522,0.037532197292126,TRUE,0.0271424230778391,1.10533498247837,1
"SC.1_h",9.04245912579246,0.0271418204709674,0.00430054689362742,0.0167528985102594,0.0375307424316754,TRUE,0.0271418204709674,1.10533498247837,1
"SC.1_h",9.0472972972973,0.0271411834921084,0.00430017395030864,0.0167531624584523,0.0375292045257644,TRUE,0.0271411834921084,1.10533498247837,1
"SC.1_h",9.05213546880213,0.0271405123013713,0.00429978095321404,0.0167534406390969,0.0375275839636457,TRUE,0.0271405123013713,1.10533498247837,1
"SC.1_h",9.05697364030697,0.0271398068402821,0.00429936796098961,0.0167537328520469,0.0375258808285173,TRUE,0.0271398068402821,1.10533498247837,1
"SC.1_h",9.06181181181181,0.0271390669751836,0.00429893480490479,0.016754039371251,0.0375240945791163,TRUE,0.0271390669751836,1.10533498247837,1
"SC.1_h",9.06664998331665,0.0271382929302291,0.0042984816174851,0.0167543601007177,0.0375222257597404,TRUE,0.0271382929302291,1.10533498247837,1
"SC.1_h",9.07148815482149,0.0271374845383481,0.00429800836340923,0.0167546949587032,0.037520274117993,TRUE,0.0271374845383481,1.10533498247837,1
"SC.1_h",9.07632632632633,0.0271366417034752,0.0042975149878523,0.0167550439815835,0.0375182394253668,TRUE,0.0271366417034752,1.10533498247837,1
"SC.1_h",9.08116449783116,0.0271357649003686,0.004297001678516,0.016755407190682,0.0375161226100552,TRUE,0.0271357649003686,1.10533498247837,1
"SC.1_h",9.086002669336,0.0271348516368929,0.00429646706978427,0.0167557853928108,0.037513917880975,TRUE,0.0271348516368929,1.10533498247837,1
